S	NR	1	500	400
S	Mine_Jaune	1	610	354
S	Mine_Jaune	2	740	300
S	Mine_Jaune	3	850	440
S	Mine_Jaune	4	700	480
S	Mine_Jaune	5	810	190
S	Mine_Bleu	2	625	200
S	Mine_Bleu	3	540	150
S	Mine_Bleu	4	450	75
S	Mine_Bleu	8	350	100
S	Mine_Bleu	6	600	75
S	Mine_Gris	0	400	400
S	Mine_Gris	1	475	475
S	Mine_Gris	3	350	600
S	Mine_Gris	5	200	600
S	Mine_Gris	2	450	570
S	Mine_Vert	8	175	150
S	Mine_Vert	4	345	300
S	Mine_Vert	6	150	250
S	Mine_Vert	2	500	250
S	Mine_Vert	3	400	200
S	Mine_Rouge	5	700	666
S	Mine_Rouge	1	550	550
S	Mine_Rouge	2	790	549
S	Mine_Rouge	3	500	690
S	Mine_Rouge	4	625	670
S	Mine_Marron	1	345	450
S	Mine_Marron	2	300	380
S	Mine_Marron	3	250	475
S	Mine_Marron	4	150	440
S	Mine_Marron	5	100	350
R	1	1	2
R	1	2	3
R	2	2	20
R	1	3	4
R	2	3	5
R	1	4	6
R	2	3	6
R	1	3	7
R	2	4	24
R	2	6	11
R	2	5	22
R	1	7	8
R	1	8	9
R	2	8	11
R	1	9	11
R	2	9	10
R	1	20	7
R	1	20	21
R	2	21	9
R	2	21	18
R	1	18	19
R	2	21	19
R	1	19	17
R	1	12	27
R	2	12	28
R	2	27	29
R	1	28	29
R	1	29	30
R	1	30	31
R	2	30	19
R	2	28	18
R	2	29	15
R	1	27	16
R	1	1	12
R	2	12	13
R	1	13	16
R	1	16	14
R	2	14	15
R	1	1	23
R	1	13	23
R	2	16	25
R	1	23	25
R	1	25	26
R	2	23	26
R	1	26	22
R	1	24	22
